"","verbatimScientificName","common_names"
"Apis mellifera","Apis mellifera","honey bee"
"Dryobates pubescens","Dryobates pubescens","Downy woodpecker"
"Agelaius phoeniceus","Agelaius phoeniceus","red-winged blackbird"
"Dryobates villosus","Dryobates villosus","Hairy woodpecker"
"Vulpes vulpes","Vulpes vulpes","red fox"
"Tachycineta bicolor","Tachycineta bicolor","Tree swallow"
"Tyrannus tyrannus","Tyrannus tyrannus","eastern kingbird"
"Corvus brachyrhynchos","Corvus brachyrhynchos","American crow"
"Zenaida macroura","Zenaida macroura","mourning dove"
"Icterus bullockii","Icterus bullockii","Bullock's oriole"
"Meleagris gallopavo","Meleagris gallopavo","turkey"
"Hippodamia convergens","Hippodamia convergens","convergent lady beetle"
"Cynomys ludovicianus","Cynomys ludovicianus","black-tailed prairie dog"
"Pseudotsuga menziesii","Pseudotsuga menziesii","Douglas-fir"
"Anas platyrhynchos","Anas platyrhynchos","mallard"
"Recurvirostra americana","Recurvirostra americana","American avocet"
"Alces alces","Alces alces","Eurasian elk"
"Bubo virginianus","Bubo virginianus","great horned owl"
"Acer negundo","Acer negundo","box elder"
"Melospiza melodia","Melospiza melodia","song sparrow"
"Passer domesticus","Passer domesticus","House sparrow"
"Spinus tristis","Spinus tristis","American goldfinch"
"Buteo jamaicensis","Buteo jamaicensis","red-tailed hawk"
"Hirundo rustica","Hirundo rustica","Barn swallow"
"Troglodytes aedon","Troglodytes aedon","House wren"
"Selasphorus platycercus","Selasphorus platycercus","broad-tailed hummingbird"
"Chelydra serpentina","Chelydra serpentina","Common snapping turtle"
"Pelecanus erythrorhynchos","Pelecanus erythrorhynchos","American white pelican"
"Mareca strepera","Mareca strepera","gadwall"
"Aechmophorus occidentalis","Aechmophorus occidentalis","western grebe"
"Setophaga coronata","Setophaga coronata","yellow-rumped warbler"
"Egretta thula","Egretta thula","snowy egret"
"Turdus migratorius","Turdus migratorius","American robin"
"Stelgidopteryx serripennis","Stelgidopteryx serripennis","northern rough-winged swallow"
"Micropterus salmoides","Micropterus salmoides","largemouth bass"
"Chrysemys picta bellii","Chrysemys picta bellii","western painted turtle"
"Ardea herodias","Ardea herodias","great blue heron"
"Contopus sordidulus","Contopus sordidulus","western wood-pewee"
"Pica hudsonia","Pica hudsonia","Black-billed magpie"
"Setophaga petechia","Setophaga petechia","yellow warbler"
"Spizella breweri","Spizella breweri","Brewer's sparrow"
"Lynx rufus","Lynx rufus","bobcat"
"Charadrius vociferus","Charadrius vociferus","killdeer"
"Haemorhous mexicanus","Haemorhous mexicanus","house finch"
"Setophaga coronata auduboni","Setophaga coronata auduboni","Audubon's warbler"
"Tamiasciurus hudsonicus","Tamiasciurus hudsonicus","American red squirrel"
"Spizella pallida","Spizella pallida","clay-colored sparrow"
"Botaurus lentiginosus","Botaurus lentiginosus","american bittern"
"Lepomis macrochirus","Lepomis macrochirus","bluegill"
"Sitta canadensis","Sitta canadensis","Red-breasted nuthatch"
"Odocoileus virginianus","Odocoileus virginianus","white-tailed deer"
"Armadillidium vulgare","Armadillidium vulgare","common pillbug"
"Quiscalus quiscula","Quiscalus quiscula","common grackle"
"Taxidea taxus","Taxidea taxus","American badger"
"Sturnella neglecta","Sturnella neglecta","western meadowlark"
"Salmo trutta","Salmo trutta","river trout"
"Vireo griseus","Vireo griseus","white-eyed vireo"
"Syringa vulgaris","Syringa vulgaris","common lilac"
"Malacosoma californica","Malacosoma californica","western tent caterpillar"
"Sciurus niger","Sciurus niger","fox squirrel"
"Conium maculatum","Conium maculatum","poison hemlock"
"Odocoileus hemionus","Odocoileus hemionus","mule deer"
"Poecile atricapillus","Poecile atricapillus","Black-capped chickadee"
"Branta canadensis","Branta canadensis","Canada goose"
"Cyanocitta stelleri","Cyanocitta stelleri","Steller's jay"
"Canis latrans","Canis latrans","coyote"
"Geothlypis trichas","Geothlypis trichas","common yellowthroat"
"Dumetella carolinensis","Dumetella carolinensis","grey catbird"
"Nymphalis antiopa","Nymphalis antiopa","mourning cloak"
"Spizella passerina","Spizella passerina","chipping sparrow"
"Marmota flaviventris","Marmota flaviventris","yellow-bellied marmot"
"Fulica americana","Fulica americana","American coot"
"Callospermophilus lateralis","Callospermophilus lateralis","golden-mantled ground squirrel"
"Vireo gilvus","Vireo gilvus","warbling vireo"
"Cardellina pusilla","Cardellina pusilla","Wilson's warbler"
"Spatula discors","Spatula discors","blue-winged teal"
"Leptinotarsa decemlineata","Leptinotarsa decemlineata","Colorado potato beetle"
"Accipiter cooperii","Accipiter cooperii","Cooper's hawk"
"Buteo swainsoni","Buteo swainsoni","Swainson's hawk"
"Pheucticus ludovicianus","Pheucticus ludovicianus","rose-breasted grosbeak"
"Piranga ludoviciana","Piranga ludoviciana","western tanager"
"Petrochelidon pyrrhonota","Petrochelidon pyrrhonota","cliff swallow"
"Trachemys scripta","Trachemys scripta","red-eared slider turtle"
"Megaceryle alcyon","Megaceryle alcyon","belted kingfisher"
"Cathartes aura","Cathartes aura","turkey vulture"
"Polygonia gracilis","Polygonia gracilis","hoary comma"
"Castor canadensis","Castor canadensis","American beaver"
"Aix sponsa","Aix sponsa","wood duck"
"Sialia currucoides","Sialia currucoides","mountain bluebird"
"Junco hyemalis","Junco hyemalis","dark-eyed junco"
"Sylvilagus audubonii","Sylvilagus audubonii","desert cottontail"
"Pipilo chlorurus","Pipilo chlorurus","green-tailed towhee"
"Nycticorax nycticorax","Nycticorax nycticorax","black-crowned night-heron"
"Corvus corax","Corvus corax","Common raven"
"Cyprinus carpio","Cyprinus carpio","common carp"
"Pseudacris maculata","Pseudacris maculata","boreal chorus frog"
"Phalaropus tricolor","Phalaropus tricolor","Wilson's phalarope"
"Phalacrocorax auritus","Phalacrocorax auritus","double-crested cormorant"
"Bombycilla cedrorum","Bombycilla cedrorum","cedar waxwing"
"Pieris rapae","Pieris rapae","cabbage white"
"Picea pungens","Picea pungens","Colorado spruce"
"Lithobates catesbeianus","Lithobates catesbeianus","American bullfrog"
"Oncorhynchus mykiss","Oncorhynchus mykiss","rainbow trout"
"Antilocapra americana","Antilocapra americana","pronghorn"
"Geothlypis tolmiei","Geothlypis tolmiei","MacGillivray's warbler"
"Euphorbia esula","Euphorbia esula","leafy spurge"
"Anaxyrus woodhousii","Anaxyrus woodhousii","Woodhouse's toad"
"Porzana carolina","Porzana carolina","sora"
"Bubulcus ibis","Bubulcus ibis","cattle egret"
"Ovis canadensis","Ovis canadensis","bighorn sheep"
"Leiothlypis celata","Leiothlypis celata","orange-crowned warbler"
"Aphelocoma woodhouseii","Aphelocoma woodhouseii","Woodhouse's scrub-Jay"
"Centranthus ruber","Centranthus ruber","red valerian"
"Ardea alba","Ardea alba","great egret"
"Phasianus colchicus","Phasianus colchicus","Ring-necked pheasant"
"Cyanocitta cristata","Cyanocitta cristata","blue jay"
"Columba livia","Columba livia","rock pigeon"
"Cervus canadensis canadensis","Cervus canadensis canadensis","Eastern wapiti"
"Calidris minutilla","Calidris minutilla","least sandpiper"
"Archilochus alexandri","Archilochus alexandri","black-chinned hummingbird"
"Tyrannus vociferans","Tyrannus vociferans","Cassin's kingbird"
"Seiurus aurocapilla","Seiurus aurocapilla","ovenbird"
"Ammodramus savannarum","Ammodramus savannarum","grasshopper sparrow"
"Sterna forsteri","Sterna forsteri","Forster's tern"
"Salpinctes obsoletus","Salpinctes obsoletus","rock wren"
"Setophaga coronata coronata","Setophaga coronata coronata","myrtle warbler"
"Catostomus catostomus","Catostomus catostomus","longnose sucker"
"Streptopelia decaocto","Streptopelia decaocto","Eurasian collared-dove"
"Puma concolor","Puma concolor","puma"
"Spatula clypeata","Spatula clypeata","Northern shoveler"
"Bucephala albeola","Bucephala albeola","bufflehead"
"Haemorhous cassinii","Haemorhous cassinii","Cassin's finch"
"Quiscalus mexicanus","Quiscalus mexicanus","Great-tailed grackle"
"Plegadis chihi","Plegadis chihi","white-faced ibis"
"Marchantia polymorpha","Marchantia polymorpha","liverwort"
"Icteria virens","Icteria virens","yellow-breasted chat"
"Ondatra zibethicus","Ondatra zibethicus","muskrat"
"Haliaeetus leucocephalus","Haliaeetus leucocephalus","bald eagle"
"Mareca americana","Mareca americana","American wigeon"
"Sylvilagus floridanus","Sylvilagus floridanus","eastern cottontail"
"Zonotrichia albicollis","Zonotrichia albicollis","white-throated sparrow"
"Catharus ustulatus","Catharus ustulatus","Swainson's thrush"
"Marrubium vulgare","Marrubium vulgare","white horehound"
"Aquarius remigis","Aquarius remigis","common water strider"
